"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status"
"40426",1,1,1,1,37,44,-1
"40426",1,2,1,1,12,66,-1
"40426",1,3,1,1,9,98,-1
"40426",2,4,0,1,91,20,-1
"40426",2,5,1,0,8,28,-1
"40426",2,6,1,0,33,30,-1
"40426",2,7,1,0,24,27,-1
"40426",2,8,0,1,43,58,-1
"40426",2,9,1,0,47,72,-1
"40426",2,10,0,1,44,44,-1
"40426",1,11,1,1,26,69,-1
"40426",2,12,1,0,41,6,-1
"40426",2,13,1,0,34,88,-1
"40426",2,14,0,1,18,73,-1
"40426",2,15,1,0,25,60,-1
"40426",1,16,1,1,6,68,-1
"40426",2,17,0,1,39,48,-1
"40426",2,18,1,0,76,35,-1
"40426",2,19,1,0,85,23,-1
"40426",2,20,1,0,22,54,-1
"40426",2,21,0,1,58,66,-1
"40426",2,22,1,0,41,98,-1
"40426",2,23,1,0,80,58,-1
"40426",2,24,1,0,85,32,-1
"40426",2,25,0,1,15,83,-1
"40426",2,26,1,0,16,18,-1
"40426",2,27,1,0,99,56,-1
"40426",2,28,1,0,75,23,-1
"40426",2,29,1,0,18,68,-1
"40426",2,30,1,0,16,30,-1
"40426",2,31,1,0,37,86,-1
"40426",2,32,1,0,44,47,-1
"40426",2,33,1,0,91,3,-1
"40426",2,34,0,1,14,60,-1
"40426",2,35,1,0,84,54,-1
"40426",2,36,1,0,23,34,-1
"40426",2,37,1,0,28,96,-1
"40426",2,38,0,1,94,83,-1
"40426",2,39,1,0,86,63,-1
"40426",2,40,1,0,53,99,-1
"40426",2,41,1,0,91,29,-1
"40426",2,42,1,0,64,88,-1
"40426",2,43,1,0,70,84,-1
"40426",2,44,0,1,88,61,-1
"40426",2,45,1,0,43,61,-1
"40426",2,46,1,0,54,87,-1
"40426",2,47,0,1,90,5,-1
"40426",2,48,1,0,44,71,-1
"40426",2,49,1,0,52,42,-1
"40426",2,50,1,0,93,39,-1
"40426",2,51,1,0,24,39,-1
